id,numero_recolecta,nombre_cientifico,nombre_comun,habitat,datos_morfologicos,epoca_floracion,epoca_fructificacion,usos_tradicionales,note
658,POL-A20514E1-2023,Solanum lycopersicum,Tomate,,"Solanum lycopersicum, conocida comúnmente como tomate o tomatera es una especie de planta herbácea del género Solanum de la familia Solanaceae. Es una planta de importancia global por su uso como alimento.​ La planta es cultivada en el mundo entero para el consumo de su fruto, el tomate o jitomate, tanto fresco como procesado de diferentes maneras: salsa, puré, zumo, deshidratado, enlatado, etc.",,"Es una planta de importancia global por su uso como alimento.​ La planta es cultivada en el mundo entero para el consumo de su fruto, el tomate o jitomate, tanto fresco como procesado de diferentes maneras: salsa, puré, zumo, deshidratado, enlatado, etc.","Es una planta de importancia global por su uso como alimento.​ La planta es cultivada en el mundo entero para el consumo de su fruto, el tomate o jitomate, tanto fresco como procesado de diferentes maneras: salsa, puré, zumo, deshidratado, enlatado, etc.",
659,POL-942CCE48-2024,Lysiloma latisiliquum,Tzalam,"Habita en zonas con vegetación tropical húmeda y en las cercanías del manglar, en elevaciones menores a los 250 m s.","El tsalam o tzalam (Lysiloma latisiliquum), también llamado abey​ en las Antillas y Venezuela, es un árbol maderable de la familia de las fabáceas. Es nativo de la Florida en el sur de Estados Unidos, las Bahamas, el Caribe, sur de México y el norte de América Central.​ Sin embargo en su mayor parte se encuentra restringido a la península de Yucatán.","Es nativo de la Florida en el sur de Estados Unidos, las Bahamas, el Caribe, sur de México y el norte de América Central.​ Sin embargo en su mayor parte se encuentra restringido a la península de Yucatán.",,"El tsalam o tzalam (Lysiloma latisiliquum), también llamado abey​ en las Antillas y Venezuela, es un árbol maderable de la familia de las fabáceas.",
660,POL-1D296070-2023,Heliconia spp.,Heliconia,,Planta del grupo; características morfológicas varían por especie.,,,,fallback template (no wiki extract)
661,POL-9225F885-2024,Heliconia spp.,Heliconia,,Planta del grupo; características morfológicas varían por especie.,,,,fallback template (no wiki extract)
662,POL-4161CFEF-2025,Enterolobium cyclocarpum,Guanacaste,"Es un árbol nativo de América, de regiones tropicales y templadas cálidas.","Enterolobium cyclocarpum es una especie de árbol del orden Fabales, familia Fabaceae. Es un árbol nativo de América, de regiones tropicales y templadas cálidas.",,,Es una especie maderable y a veces se usa como árbol de ornato.,
663,POL-D7889A32-2024,Pistia stratiotes,Lechuga de agua,,Pistia stratiotes es la única especie del género monotípico Pistia. Esta planta acuática de la familia Araceae es llamada comúnmente repollito del agua o lechuga de agua.,,,,
664,POL-0B430BC5-2023,Ficus spp.,Higo,,Planta del grupo; características morfológicas varían por especie.,,,,fallback template (no wiki extract)
665,POL-43C948BA-2024,Enterolobium cyclocarpum,Guanacaste,"Es un árbol nativo de América, de regiones tropicales y templadas cálidas.","Enterolobium cyclocarpum es una especie de árbol del orden Fabales, familia Fabaceae. Es un árbol nativo de América, de regiones tropicales y templadas cálidas.",,,Es una especie maderable y a veces se usa como árbol de ornato.,
666,POL-8B98807E-2025,Piscidia piscipula,Jabín,"Piscidia piscipula, llamado comúnmente barbasco, palo de agua, jabil, jabín o chijol, es una especie de árbol tropical de tamaño mediano, de hojas caducas, nativa del sur de Florida, los Cayos de la Florida, Tejas, de Antillas y América Latina.","Piscidia piscipula, llamado comúnmente barbasco, palo de agua, jabil, jabín o chijol, es una especie de árbol tropical de tamaño mediano, de hojas caducas, nativa del sur de Florida, los Cayos de la Florida, Tejas, de Antillas y América Latina. El árbol tiene valor medicinal como analgésico y sedante.​ Piscidia piscipula fue descrita por (L.) Sarg.","Piscidia piscipula, llamado comúnmente barbasco, palo de agua, jabil, jabín o chijol, es una especie de árbol tropical de tamaño mediano, de hojas caducas, nativa del sur de Florida, los Cayos de la Florida, Tejas, de Antillas y América Latina.",,El árbol tiene valor medicinal como analgésico y sedante.​ Piscidia piscipula fue descrita por (L.) Sarg.,
667,POL-F35F1CB8-2023,Laguncularia racemosa,Mangle blanco,"Laguncularia racemosa, conocido también en Cuba como patabán,​ y en Colombia, Venezuela y Costa Rica como mangle blanco o mereicillo, es la única especie del género monotípico Laguncularia.","Laguncularia racemosa, conocido también en Cuba como patabán,​ y en Colombia, Venezuela y Costa Rica como mangle blanco o mereicillo, es la única especie del género monotípico Laguncularia.",,,,
668,POL-714C9522-2023,Bougainvillea spectabilis,Bugambilia,,Bougainvillea spectabilis es una planta trepadora de la familia Nyctaginaceae. Es originaria de Brasil donde se encuentra en la Amazonia y la Mata Atlántica.​,,,,
669,POL-2A9CCE9B-2023,Monstera deliciosa,Costilla de Adán,"Monstera deliciosa, llamada comúnmente cerimán o costilla de Adán, es una especie de planta trepadora de la familia Araceae, endémica de selvas tropicales, que se distribuye desde el centro y sur de México hasta el norte de Argentina.[cita requerida]","Monstera deliciosa, llamada comúnmente cerimán o costilla de Adán, es una especie de planta trepadora de la familia Araceae, endémica de selvas tropicales, que se distribuye desde el centro y sur de México hasta el norte de Argentina.[cita requerida]",,,,
670,POL-FEAAC02E-2024,Philodendron spp.,Filodendro,,Planta del grupo; características morfológicas varían por especie.,,,,fallback template (no wiki extract)
671,POL-AB343134-2023,Swietenia macrophylla,Caoba,"Swietenia macrophylla también llamado caoba de Honduras o caoba (o caobo) de hoja grande, 'aguano' y 'zopilote',​​ es una especie de árboles originaria de la zona intertropical americana perteneciente a la familia de las Meliaceae.","Swietenia macrophylla también llamado caoba de Honduras o caoba (o caobo) de hoja grande, 'aguano' y 'zopilote',​​ es una especie de árboles originaria de la zona intertropical americana perteneciente a la familia de las Meliaceae. Es cultivado como planta ornamental y por su madera que es muy cotizada y utilizada en ebanistería.​",,,Es cultivado como planta ornamental y por su madera que es muy cotizada y utilizada en ebanistería.​,
